"No.","Time","Source","Destination","Protocol","Length","Info"
"419","8.368245","127.0.0.1","127.0.0.1","TCP","64","35201  >  3000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM TSval=6697706 TSecr=0"
"420","8.368304","127.0.0.1","127.0.0.1","TCP","64","3000  >  35201 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM TSval=6697707 TSecr=6697706"
"421","8.368335","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=1 Ack=1 Win=261632 Len=0 TSval=6697707 TSecr=6697707"
"422","8.368421","127.0.0.1","127.0.0.1","HTTP","590","GET / HTTP/1.1 "
"423","8.368433","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [ACK] Seq=1 Ack=535 Win=2616576 Len=0 TSval=6697707 TSecr=6697707"
"428","8.369711","127.0.0.1","127.0.0.1","HTTP","1054","HTTP/1.1 200 OK  (text/html)"
"429","8.369730","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=535 Ack=999 Win=2616576 Len=0 TSval=6697708 TSecr=6697708"
"466","8.479647","127.0.0.1","127.0.0.1","HTTP","526","GET /static/style1.css HTTP/1.1 "
"467","8.479657","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [ACK] Seq=999 Ack=1005 Win=2616064 Len=0 TSval=6697818 TSecr=6697818"
"476","8.480454","127.0.0.1","127.0.0.1","HTTP","1037","HTTP/1.1 200 OK  (text/css)"
"477","8.480470","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=1005 Ack=1980 Win=2615552 Len=0 TSval=6697819 TSecr=6697819"
"486","8.480660","127.0.0.1","127.0.0.1","HTTP","531","GET /static/head.jpg HTTP/1.1 "
"487","8.480668","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [ACK] Seq=1980 Ack=1480 Win=2615552 Len=0 TSval=6697819 TSecr=6697819"
"500","8.480998","127.0.0.1","127.0.0.1","TCP","64","35202  >  3000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM TSval=6697819 TSecr=0"
"501","8.481045","127.0.0.1","127.0.0.1","TCP","64","3000  >  35202 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM TSval=6697819 TSecr=6697819"
"502","8.481067","127.0.0.1","127.0.0.1","TCP","56","35202  >  3000 [ACK] Seq=1 Ack=1 Win=2616576 Len=0 TSval=6697819 TSecr=6697819"
"506","8.481177","127.0.0.1","127.0.0.1","HTTP","29297","HTTP/1.1 200 OK  (JPEG JFIF image)"
"508","8.481198","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=1480 Ack=31221 Win=2586368 Len=0 TSval=6697820 TSecr=6697820"
"553","8.493256","127.0.0.1","127.0.0.1","HTTP","603","GET /static/BGM.wav HTTP/1.1 "
"554","8.493269","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [ACK] Seq=31221 Ack=2027 Win=2615040 Len=0 TSval=6697832 TSecr=6697832"
"555","8.494177","127.0.0.1","127.0.0.1","TCP","65473","3000  >  35201 [ACK] Seq=31221 Ack=2027 Win=2615040 Len=65417 TSval=6697833 TSecr=6697832 [TCP segment of a reassembled PDU]"
"556","8.494194","127.0.0.1","127.0.0.1","TCP","532","3000  >  35201 [PSH, ACK] Seq=96638 Ack=2027 Win=2615040 Len=476 TSval=6697833 TSecr=6697832 [TCP segment of a reassembled PDU]"
"557","8.494222","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=2027 Ack=97114 Win=2616576 Len=0 TSval=6697833 TSecr=6697833"
"558","8.494350","127.0.0.1","127.0.0.1","TCP","65473","3000  >  35201 [ACK] Seq=97114 Ack=2027 Win=2615040 Len=65417 TSval=6697833 TSecr=6697833 [TCP segment of a reassembled PDU]"
"559","8.494358","127.0.0.1","127.0.0.1","TCP","175","3000  >  35201 [PSH, ACK] Seq=162531 Ack=2027 Win=2615040 Len=119 TSval=6697833 TSecr=6697833 [TCP segment of a reassembled PDU]"
"560","8.494377","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=2027 Ack=162650 Win=2616576 Len=0 TSval=6697833 TSecr=6697833"
"561","8.494458","127.0.0.1","127.0.0.1","HTTP","11114","HTTP/1.1 206 Partial Content  (audio/wav)"
"562","8.494473","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=2027 Ack=173708 Win=2605568 Len=0 TSval=6697833 TSecr=6697833"
"579","8.510887","127.0.0.1","127.0.0.1","HTTP","527","GET /favicon.ico HTTP/1.1 "
"580","8.510902","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [ACK] Seq=173708 Ack=2498 Win=2614528 Len=0 TSval=6697849 TSecr=6697849"
"581","8.511515","127.0.0.1","127.0.0.1","HTTP","478","HTTP/1.1 404 Not Found  (text/html)"
"582","8.511534","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=2498 Ack=174130 Win=2605056 Len=0 TSval=6697850 TSecr=6697850"
"867","13.524606","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [FIN, ACK] Seq=174130 Ack=2498 Win=2614528 Len=0 TSval=6702863 TSecr=6697850"
"868","13.524629","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [ACK] Seq=2498 Ack=174131 Win=2605056 Len=0 TSval=6702863 TSecr=6702863"
"869","13.524699","127.0.0.1","127.0.0.1","TCP","56","35201  >  3000 [FIN, ACK] Seq=2498 Ack=174131 Win=2605056 Len=0 TSval=6702863 TSecr=6702863"
"870","13.524725","127.0.0.1","127.0.0.1","TCP","56","3000  >  35201 [ACK] Seq=174131 Ack=2499 Win=2614528 Len=0 TSval=6702863 TSecr=6702863"
"879","13.763108","127.0.0.1","127.0.0.1","TCP","56","35202  >  3000 [FIN, ACK] Seq=1 Ack=1 Win=2616576 Len=0 TSval=6703101 TSecr=6697819"
"880","13.763121","127.0.0.1","127.0.0.1","TCP","56","3000  >  35202 [ACK] Seq=1 Ack=2 Win=326912 Len=0 TSval=6703102 TSecr=6703101"
"881","13.763269","127.0.0.1","127.0.0.1","TCP","56","3000  >  35202 [FIN, ACK] Seq=1 Ack=2 Win=326912 Len=0 TSval=6703102 TSecr=6703101"
"882","13.763282","127.0.0.1","127.0.0.1","TCP","56","35202  >  3000 [ACK] Seq=2 Ack=2 Win=2616576 Len=0 TSval=6703102 TSecr=6703102"
